Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM301371v2	GCA_003013715.2	GCF_003013715.1	Candidozyma auris		B11220					Annotation submitted by Centers for Disease Control and Prevention	Complete Genome	2019-09-10		7
ASM301371v2	GCF_003013715.1	GCA_003013715.2	Candidozyma auris		B11220					Annotation submitted by Centers for Disease Control and Prevention	Complete Genome	2019-09-10		7
ASM305444v1	GCA_003054445.1	GCF_003054445.1	Pichia kudriavzevii		CBS573					Annotation submitted by University College Dublin	Complete Genome	2018-04-17		5
ASM305444v1	GCF_003054445.1	GCA_003054445.1	Pichia kudriavzevii		CBS573					Annotation submitted by University College Dublin	Complete Genome	2018-04-17		5
ASM3038466v1	GCA_030384665.1	GCF_030384665.1	Lodderomyces elongisporus		NRRL YB-4239					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-07-02		8
ASM3038466v1	GCF_030384665.1	GCA_030384665.1	Lodderomyces elongisporus		NRRL YB-4239					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-07-02		8
ASM2694v1	GCA_000026945.1	GCF_000026945.1	Candida dubliniensis CD36		CD36					Annotation submitted by Wellcome Trust Sanger Institute	Complete Genome	2009-02-16		8
ASM2694v1	GCF_000026945.1	GCA_000026945.1	Candida dubliniensis CD36		CD36					Annotation submitted by Wellcome Trust Sanger Institute	Complete Genome	2009-02-16		8
ASM9098v2	GCA_000090985.2	GCF_000090985.2	Micromonas commoda		RCC299					Annotation submitted by Micromonas genome consortium	Complete Genome	2009-04-10		17
ASM9098v2	GCF_000090985.2	GCA_000090985.2	Micromonas commoda		RCC299					Annotation submitted by Micromonas genome consortium	Complete Genome	2009-04-10		17
ASM2920330v1	GCA_029203305.1	GCF_029203305.1	Yamadazyma tenuis		ATCC 10573					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-14		7
ASM2920330v1	GCF_029203305.1	GCA_029203305.1	Yamadazyma tenuis		ATCC 10573					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-14		7
Skud-IFO1802	GCA_947243775.1	GCF_947243775.1	Saccharomyces kudriavzevii IFO 1802		IFO1802					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
Skud-IFO1802	GCF_947243775.1	GCA_947243775.1	Saccharomyces kudriavzevii IFO 1802		IFO1802					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
RsphJCM8202v2	GCA_051805495.1		Rhodotorula sphaerocarpa		JCM8202					Annotation submitted by Laboratory of Yeast Systematics, Tokyos NODAI Research Institute, Tokyo University Of Agriculture	Complete Genome	2025-07-29		17
